@relation MaxNMACDataset

@attribute generation numeric
@attribute selfDestDist numeric
@attribute selfDestAngle numeric
@attribute headOnSelected numeric
@attribute headOnOffset numeric
@attribute headOnIsRightSide numeric
@attribute headOnSpeed numeric
@attribute crossingSelected numeric
@attribute crossingEncounterAngle numeric
@attribute crossingIsRightSide numeric
@attribute crossingSpeed numeric
@attribute tailApproachSelected numeric
@attribute tailApproachOffset numeric
@attribute tailApproachIsRightSide numeric
@attribute tailApproachSpeed numeric
@attribute fitness numeric
@attribute accident numeric

@data
0,47.124966,0.420474,0.325405,3.613588,-0.968568,1.43086,-1,0.47209,0.98739,1.078643,-1,2.447029,0.0629,2.164927,0.338334,0
0,64.268871,0.083421,0.492171,0.670734,0.356344,1.072681,-1,-3.020417,-0.696806,1.17047,-1,0.082201,-0.01477,2.279091,1,1
0,61.704954,-2.578258,-0.670214,1.367978,0.40867,1.542502,-1,0.456665,-0.488159,1.355139,-1,4.710753,-0.928348,2.366922,0,0
0,47.007297,-1.718524,-0.502024,4.539912,0.561179,1.537439,-1,2.059372,-0.082635,1.286401,-1,3.257999,0.029357,2.137434,0,0
0,62.344917,1.281879,0.910128,4.980452,0.143867,1.3843,-1,-0.324687,0.479602,1.742121,-1,2.81199,-0.727651,2.327104,0.305799,0
0,64.325264,0.873816,-0.266798,2.099647,-0.373442,2.301193,-1,1.271765,0.366039,1.972009,-1,4.157408,0.597937,2.20889,0,0
0,53.357809,-2.892764,-0.323891,1.913347,-0.693951,1.73389,-1,-1.745757,0.632988,2.054464,-1,4.132758,-0.440792,2.336242,0,0
0,60.478429,-0.694933,0.546636,4.638194,0.242061,1.328601,-1,2.995178,-0.641733,1.167189,-1,1.194627,0.836608,2.380845,0.335035,0
0,40.117438,0.022395,0.107281,2.190778,0.657213,2.148596,-1,1.16961,0.106637,1.72824,-1,1.827069,0.629036,2.29773,0.743756,0
0,43.618397,-1.075649,0.637311,0.506447,-0.734787,1.529273,-1,-0.964326,-0.652355,1.043589,-1,1.039058,-0.094047,2.226557,0.861465,1
0,68.745821,-2.742945,0.732115,4.189069,-0.098372,1.067883,-1,2.813957,0.473306,1.166751,-1,1.071557,0.890293,2.457582,0.443407,0
0,61.647018,-1.497852,-0.897477,1.031286,-0.100344,1.108646,-1,-0.640393,0.5814,2.19545,-1,4.903696,-0.733673,2.191942,0,0
0,50.135312,-1.680894,-0.575898,0.463556,-0.318533,1.898843,-1,-1.109608,-0.911282,1.012992,-1,1.82271,-0.632666,2.296101,0,0
0,48.279389,-0.043817,0.669988,3.861135,-0.338713,1.457133,-1,2.979991,-0.094249,1.084307,-1,2.403028,0.170303,2.245247,0.345143,0
0,64.016053,-0.588829,0.454246,4.987689,-0.353029,1.628511,-1,-1.072326,0.87037,1.063086,-1,0.053258,-0.688004,2.239306,0.331554,0
0,65.662358,-1.201532,-0.925046,3.110886,0.293526,1.235873,-1,-0.850692,-0.227715,1.993048,-1,3.498178,-0.929317,2.463669,0,0
0,44.71261,-1.683947,-0.774503,0.326807,-0.349026,1.624309,-1,2.324586,0.608165,2.114702,-1,1.784613,0.532201,2.321755,0,0
0,66.347552,2.89179,0.37231,0.747798,0.977707,1.179161,-1,1.295556,0.793007,1.406392,-1,2.876486,-0.790876,2.323662,0.680354,0
0,63.695235,2.651365,-0.579517,1.252076,-0.75828,1.719573,-1,-1.119973,0.838731,1.722162,-1,1.366523,-0.115703,2.253892,0,0
0,63.356006,-0.315983,0.542491,3.78265,0.639825,1.350363,-1,1.928111,0.956681,1.061294,-1,2.247758,-0.206621,2.339617,0.409394,0
0,50.812626,-1.240571,-0.515701,0.169923,0.525995,1.760927,-1,2.735915,0.016728,2.065958,-1,1.347292,-0.544962,2.043634,0,0
0,64.791659,2.949117,-0.152511,3.589764,0.156465,1.845709,-1,1.351238,0.429193,2.466406,-1,4.025519,-0.302535,2.025355,0,0
0,52.916487,-2.089936,-0.05265,0.600696,-0.279903,2.458526,-1,-0.899168,-0.165448,1.588332,-1,4.572941,-0.888737,2.093088,0,0
0,48.235823,-2.748878,-0.706082,0.259616,0.979584,1.184158,-1,-2.474764,0.226295,1.44845,-1,1.93931,0.714892,2.39642,0,0
0,67.289157,-0.259331,0.323279,3.433494,0.885259,2.134366,-1,-2.385025,0.756409,2.424997,-1,1.157052,0.372283,2.112668,0.42031,0
0,53.680499,-2.472971,-0.52504,4.066582,-0.444508,1.183787,-1,3.04907,-0.197931,1.586643,-1,3.529452,-0.037235,2.460294,0,0
0,66.875718,1.103369,-0.433723,1.72585,0.028128,1.327857,-1,2.478544,0.856318,2.257024,-1,0.085332,-0.865645,2.092232,0,0
0,59.559208,2.724835,-0.056529,4.36892,0.534159,2.333238,-1,3.064977,0.087199,2.29024,-1,4.029497,-0.523208,2.269123,0,0
0,53.374476,-0.413621,0.701516,1.699391,-0.006706,1.49402,-1,-2.349391,-0.256462,1.593364,-1,0.230177,-0.083646,2.488191,0.656079,0
0,55.837314,-1.964753,0.701484,4.872578,-0.616188,1.195386,-1,0.572498,0.328618,2.190776,-1,4.322371,-0.096784,2.450711,0.335466,0
0,43.483332,0.020939,0.189513,2.747068,0.885146,2.026748,-1,-0.991419,-0.120453,1.752021,-1,0.438385,-0.244407,2.37166,0.732585,0
0,48.144441,-1.012311,0.267644,1.533514,0.102065,1.993086,-1,-0.003484,-0.564003,1.935093,-1,2.301935,0.15738,2.413169,0.459429,0
0,51.534689,-1.304079,-0.947919,0.725161,-0.714713,1.177543,-1,1.132984,-0.673805,2.380906,-1,4.362379,-0.83025,2.019203,0,0
0,41.019854,0.169214,0.836308,0.666965,-0.498688,2.221867,-1,1.340698,0.629597,1.182399,-1,0.794295,0.509931,2.461212,0.590503,1
0,63.632784,2.562106,-0.563057,3.870942,-0.42581,1.361971,-1,1.255917,-0.184906,1.176491,-1,1.729876,0.186284,2.37611,0,0
0,57.961206,-2.870663,-0.668474,1.922539,0.540799,1.985323,-1,-1.40324,0.188374,1.668126,-1,0.686678,-0.224805,2.054008,0,0
0,53.016084,2.053316,0.174303,4.370512,-0.584697,1.518551,-1,-0.212892,-0.668684,1.798933,-1,0.374648,-0.691799,2.117518,0.382946,0
0,40.496314,-1.344924,-0.821564,4.101092,-0.615081,2.398034,-1,0.009037,0.697011,2.437016,-1,1.265687,0.494275,2.473213,0,0
0,40.13167,-1.276618,-0.289839,4.201874,0.126295,1.450668,-1,1.503339,0.907797,2.416723,-1,3.814968,0.986526,2.283924,0,0
0,41.293715,1.899305,0.680342,0.515414,-0.908222,2.040033,-1,1.222005,0.058922,1.772449,-1,2.137317,0.138098,2.16339,1,1
0,47.406383,-2.028195,0.639308,1.897303,-0.051046,2.078082,-1,-0.954314,-0.089059,1.051892,-1,3.709435,0.024738,2.269843,0.628122,1
0,51.111507,-1.375854,-0.962898,3.895485,-0.709165,2.419295,-1,-0.919464,0.551585,1.537633,-1,2.988113,-0.456556,2.077338,0,0
0,50.668435,-1.634979,-0.301141,4.391973,-0.84077,2.395052,-1,0.974073,-0.289816,1.90898,-1,1.950752,-0.332147,2.044079,0,0
0,66.415395,0.351887,-0.633317,3.237848,0.010803,1.934285,-1,-1.596457,-0.144564,1.340938,-1,4.525127,-0.105977,2.140551,0,0
0,67.789208,0.316322,-0.818546,3.185796,0.505034,1.822349,-1,0.129741,-0.102871,1.507068,-1,3.516827,-0.113441,2.497164,0,0
0,41.961262,-1.123935,0.061695,4.778969,0.878632,1.171175,-1,1.453921,-0.291668,1.082155,-1,4.284213,-0.039754,2.088569,0.330585,0
0,51.3953,2.179164,-0.894587,0.80605,-0.293423,1.47377,-1,-2.702593,-0.712907,1.320124,-1,0.331097,0.32555,2.465369,0,0
0,57.473299,2.768666,-0.831926,4.208302,-0.271353,1.345962,-1,-1.333921,-0.29393,1.581889,-1,4.479229,-0.965429,2.40875,0,0
0,67.223402,-0.048211,0.162367,2.930174,-0.270904,1.983287,-1,-0.809227,0.392061,1.509725,-1,3.291492,0.212181,2.464096,0.637269,0
