@relation MaxOscillationDataset

@attribute generation numeric
@attribute selfDestDist numeric
@attribute selfDestAngle numeric
@attribute headOnSelected numeric
@attribute headOnOffset numeric
@attribute headOnIsRightSide numeric
@attribute headOnSpeed numeric
@attribute crossingSelected numeric
@attribute crossingEncounterAngle numeric
@attribute crossingIsRightSide numeric
@attribute crossingSpeed numeric
@attribute tailApproachSelected numeric
@attribute tailApproachOffset numeric
@attribute tailApproachIsRightSide numeric
@attribute tailApproachSpeed numeric
@attribute fitness numeric
@attribute accident numeric

@data
0,56.106513,1.970443,-0.331619,4.694877,-0.526038,1.286623,-1,2.561508,-0.148896,2.02947,-1,2.058683,-0.162286,2.434827,0,0
0,42.065461,-1.283898,0.952801,0.21836,-0.102584,1.881354,-1,-0.370003,-0.468778,1.186326,-1,4.931704,-0.871541,2.076293,0.633234,1
0,45.200558,-2.140083,-0.261792,1.062583,-0.76256,1.516776,-1,2.846158,0.639059,2.01834,-1,4.657199,-0.536481,2.104964,0,0
0,54.89031,-1.851079,-0.615846,4.12756,-0.034534,1.912201,-1,-0.134821,-0.164155,1.530612,-1,2.388053,0.498213,2.093394,0,0
0,43.321335,-0.051381,-0.366067,2.128725,0.07131,1.349236,-1,1.378524,0.069712,1.557593,-1,2.88155,-0.63086,2.06521,0,0
0,53.920334,-0.80442,0.448146,4.70923,0.911236,1.147377,-1,-1.084024,0.336979,1.513963,-1,2.84247,-0.181672,2.373573,0.012911,0
0,63.873495,-1.568558,0.728946,0.986615,-0.861533,1.862375,-1,-2.809543,-0.29808,1.360249,-1,3.412716,-0.566218,2.243985,0.125454,0
0,45.361573,0.438492,0.868309,4.960188,0.510305,1.198652,-1,-0.603002,0.56525,1.908681,-1,3.453827,0.46154,2.166372,0.020778,0
0,61.367838,-3.035991,0.800046,2.578434,0.694776,1.384862,-1,-0.513537,-0.531595,2.23248,-1,1.709536,-0.44372,2.263569,0.063714,0
0,46.054157,-1.973812,-0.515871,4.292315,-0.922866,1.072229,-1,-2.182576,-0.258775,1.433098,-1,2.22818,-0.08602,2.166327,0,0
0,56.00395,-0.84808,-0.439866,4.470259,0.36711,1.048716,-1,-0.470788,-0.101867,1.116006,-1,1.444963,-0.093477,2.387523,0,0
0,69.292197,2.312948,0.885415,1.385656,-0.132109,2.069881,-1,0.411987,0.317386,2.219814,-1,3.567485,-0.803269,2.488165,0.08411,0
0,50.957417,0.520048,-0.341262,2.443524,0.89611,1.804721,-1,2.254354,0.588173,1.08413,-1,3.449286,0.941866,2.286996,0,0
0,45.78477,0.967175,-0.54072,1.743368,0.612352,2.053427,-1,0.821373,0.379811,1.886805,-1,0.268562,-0.313963,2.306393,0,0
0,42.092517,1.593941,-0.525972,4.759809,0.495583,1.98709,-1,2.55727,-0.266379,1.702932,-1,0.646661,0.812437,2.318976,0,0
0,48.04853,1.696949,-0.04848,4.23449,0.756759,1.778671,-1,0.120863,0.451923,1.856335,-1,0.523106,0.035015,2.165168,0,0
0,62.821491,1.053041,0.794646,2.657776,0.064157,2.167609,-1,-0.829775,-0.69024,1.617914,-1,2.26885,-0.891291,2.311837,0.099803,0
0,61.343099,0.453681,-0.940651,1.465282,0.25268,2.212521,-1,-0.062995,0.168824,2.249952,-1,3.235131,0.842318,2.193447,0,0
0,46.861044,-0.417049,-0.752978,3.515269,0.047167,1.976873,-1,0.648886,0.730439,2.197492,-1,4.588763,-0.607288,2.089885,0,0
0,47.182585,0.650097,0.538882,4.960198,0.500707,1.139694,-1,1.137601,-0.059427,2.334392,-1,4.333395,0.280486,2.360349,0.027049,0
0,45.486903,1.777468,0.772159,3.080618,-0.974434,1.221779,-1,-1.66257,0.263954,2.103624,-1,2.132061,0.903079,2.284022,0.061047,0
0,55.151884,1.84437,0.810532,3.191435,0.869278,1.249819,-1,1.268806,-0.217104,1.28623,-1,4.463773,-0.901424,2.316767,0.092692,0
0,58.647353,-2.20326,0.500619,4.460696,0.5808,2.391819,-1,-2.599092,0.809539,1.77568,-1,2.337735,0.330063,2.315336,0.022967,0
0,52.145655,-2.123296,0.445212,0.273296,0.425854,1.636376,-1,-1.911051,0.337477,1.733765,-1,0.066051,-0.684247,2.083293,0.389031,1
0,42.114674,-2.810455,-0.00836,0.270692,-0.611868,1.121157,-1,-2.690076,-0.012047,2.277958,-1,0.505405,-0.39974,2.26913,0,0
0,60.408146,1.440438,-0.021931,0.444866,-0.351442,1.549981,-1,-0.228922,0.462714,2.371819,-1,1.529569,-0.000446,2.340332,0,0
0,54.268782,-2.115528,0.209813,2.853007,-0.121487,2.120002,-1,1.257239,-0.762852,1.192489,-1,1.619093,-0.756923,2.043802,0.088251,0
0,56.919762,2.605033,0.601284,1.526558,-0.730851,1.140787,-1,0.845531,-0.929204,1.61946,-1,4.418878,-0.490569,2.269952,0.045138,0
0,62.485906,0.40635,0.886006,3.415467,-0.492363,1.151619,-1,-2.369525,0.240492,1.933146,-1,2.330643,-0.561531,2.15957,0.059183,0
0,62.900135,-0.703046,-0.692338,2.430181,0.49435,1.58847,-1,-1.40211,0.121693,2.359709,-1,1.506725,0.745155,2.027665,0,0
0,44.635992,-1.411701,0.74889,2.281078,0.160524,2.249817,-1,0.483643,-0.04373,1.871031,-1,2.764948,0.622551,2.039793,0.190153,0
0,44.832137,0.389758,0.333651,1.909303,0.027667,2.155508,-1,1.810041,-0.377525,1.761444,-1,4.361593,0.669971,2.060512,0.095815,0
0,65.196566,-2.428439,0.631219,0.424949,0.225068,2.005319,-1,0.099249,0.172389,1.668124,-1,1.384308,0.224601,2.235452,0.144721,0
0,54.643113,-2.752447,-0.549186,1.443663,-0.688314,2.188967,-1,-2.146202,-0.633174,1.201604,-1,1.689201,0.651913,2.239781,0,0
